customer_id,age,gender,region,plan_type,months_active,monthly_fee,medical_consultations,app_clashes,primary_device,days_since_last_sync,promocode_applied,target_churn,expected_health_ltv
8e838881-3541-4fef,53.0,Female,East,Basic,24.0,71.41,9.0,4.0,Mobile,16.0,0.0,1,2463.19
400ca009-49fa-4624,54.0,Female,South,Basic,19.0,63.25,10.0,0.0,Mobile,2.0,1.0,0,2258.84
1d3cc583-b81f-410d,,Male,North,Standard,36.0,29.98,5.0,1.0,Desktop,4.0,1.0,0,2301.86
27c03c82-0476-4e92,31.0,Female,South,Basic,46.0,81.09,12.0,6.0,Mobile,9.0,1.0,1,4527.21
9597e9de-c698-4a42,34.0,Female,North,Premium,70.0,27.51,4.0,1.0,Mobile,3.0,0.0,0,4220.48
27a178e5-da6f-4ca7,26.0,female,North,Basic,25.0,60.38,7.0,0.0,Desktop,9.0,0.0,0,2079.82
ea4a9701-d364-4e89,34.0,Male,North,Basic,68.0,80.81,8.0,0.0,Desktop,12.0,0.0,1,6048.61
c7efa089-6df8-4ce0,54.0,Male,West,Standard,5.0,38.63,9.0,0.0,Desktop,4.0,0.0,0,1417.9
5c96c06f-b143-42fb,55.0,Female,North,Basic,15.0,48.48,9.0,0.0,Mobile,0.0,0.0,0,1413.73
6bc5cfdd-91d2-4cc7,64.0,Female,East,Premium,50.0,46.05,7.0,0.0,Desktop,15.0,0.0,0,4639.46
e2ff7c59-09be-4f62,40.0,Male,West,Basic,47.0,55.41,7.0,3.0,Desktop,1.0,1.0,1,3467.22
fe36081c-8f44-4f7a,19.0,Male,East,Basic,50.0,57.44,6.0,0.0,Desktop,19.0,0.0,1,3162.85
1446c6f7-f17e-46e8,32.0,Female,South,Basic,45.0,89.82,10.0,2.0,Desktop,5.0,0.0,1,4798.03
c19f73dc-3462-4cc2,41.0,Male,West,Basic,70.0,22.24,17.0,0.0,Tablet,12.0,1.0,0,2566.77
7c8d1eb3-0fa5-4c97,54.0,Female,West,Standard,22.0,83.29,8.0,1.0,Tablet,2.0,0.0,1,3900.29
0f859076-0824-4b51,35.0,Male,West,Premium,11.0,25.71,6.0,0.0,Mobile,4.0,1.0,0,1296.76
08175a49-af14-440e,33.0,Male,North,Basic,64.0,94.43,6.0,5.0,Desktop,9.0,1.0,1,6437.47
1ea05e82-2812-4515,51.0,Male,West,Premium,54.0,15.31,11.0,7.0,Mobile,6.0,0.0,1,3153.55
a3d9f699-355a-45f8,50.0,Female,North,Premium,42.0,56.69,13.0,5.0,Mobile,3.0,1.0,0,5405.0
2e513226-42c6-4f90,50.0,Male,North,Basic,41.0,92.63,11.0,2.0,Mobile,12.0,0.0,1,4701.36
8ff737f9-996e-4b1a,37.0,Female,North,Basic,63.0,26.8,12.0,2.0,Tablet,8.0,1.0,0,2455.39
aa70b24c-7476-4565,26.0,Female,North,Standard,20.0,23.4,3.0,2.0,Mobile,6.0,0.0,1,1029.48
3580a309-495c-4c7d,22.0,Female,West,Premium,27.0,54.94,11.0,1.0,Desktop,3.0,0.0,0,3796.22
ce54caa8-5020-4938,50.0,MALE,North,Standard,33.0,72.67,8.0,1.0,Mobile,5.0,0.0,0,3964.66
c3db8862-720f-42cb,51.0,Female,South,Basic,34.0,21.35,8.0,2.0,Tablet,2.0,1.0,1,1589.27
9f635316-3ddc-4cdc,39.0,Female,North,Premium,10.0,,6.0,1.0,Desktop,1.0,0.0,1,1701.55
a6391ece-3d34-41eb,44.0,Female,South,Standard,70.0,76.3,8.0,1.0,Tablet,10.0,0.0,1,8182.92
83f53cd5-ae64-4a34,36.0,Male,North,Standard,46.0,60.71,6.0,0.0,Mobile,5.0,0.0,0,3834.01
5da4dd8e-02f2-49bf,24.0,Male,South,Standard,67.0,55.25,4.0,1.0,Mobile,0.0,0.0,0,4971.35
323b90cb-bb2a-4d01,49.0,Male,East,Basic,16.0,92.8,9.0,2.0,Mobile,5.0,0.0,1,2504.43
8c9903f7-58df-41d4,80.0,Male,West,Standard,61.0,72.06,12.0,2.0,Tablet,1.0,0.0,0,7187.98
571ba30b-4251-470c,39.0,Male,East,Basic,62.0,23.72,11.0,0.0,Mobile,9.0,1.0,0,2562.29
80f07179-e2f7-4a0e,27.0,Female,West,Basic,46.0,,6.0,0.0,Tablet,9.0,0.0,0,2797.46
75639fa4-336c-4289,49.0,Female,West,Standard,69.0,38.64,7.0,1.0,Tablet,1.0,0.0,1,4069.02
ad2d15e9-fd11-4f80,67.0,Female,West,Basic,11.0,36.39,5.0,0.0,Mobile,2.0,0.0,0,1296.16
5a94f273-53a6-42f4,33.0,Female,North,Basic,59.0,62.37,10.0,4.0,Desktop,1.0,0.0,0,4336.55
a0910d41-f6fb-4824,56.0,Female,East,Basic,30.0,33.8,4.0,1.0,Mobile,3.0,1.0,1,1846.07
72b97760-aa97-45d9,39.0,Male,West,Standard,3.0,46.23,13.0,0.0,Mobile,1.0,0.0,0,955.72
c19b24c7-ea02-455c,67.0,Female,South,Premium,44.0,93.61,10.0,0.0,Mobile,3.0,1.0,0,7851.35
55723557-437b-4a63,31.0,Male,North,Premium,61.0,21.31,6.0,0.0,Desktop,6.0,0.0,0,3104.47
ac14f382-f13d-4858,46.0,Male,South,Standard,21.0,29.38,7.0,4.0,Desktop,6.0,1.0,1,1662.64
4425300a-86f2-4acd,39.0,Female,West,Basic,42.0,20.29,13.0,2.0,Desktop,19.0,0.0,1,2234.03
d0e7d0fa-5e8e-420b,30.0,Female,North,Standard,30.0,60.53,7.0,0.0,Mobile,15.0,0.0,0,3027.44
40b33df6-6f67-42a0,69.0,Female,North,Standard,60.0,31.82,6.0,0.0,Mobile,4.0,0.0,0,3828.11
b413343b-4c0b-4dbe,55.0,Female,South,STANDARD,59.0,36.85,10.0,4.0,Mobile,9.0,0.0,1,4321.2
08c8a0a4-ce9a-4ce9,59.0,Male,North,Basic,71.0,77.05,5.0,0.0,Desktop,3.0,0.0,1,6269.36
0aa597e4-ca15-4206,53.0,Female,West,Basic,35.0,70.24,8.0,0.0,Desktop,1.0,1.0,0,3353.17
dd336094-9030-4fb7,29.0,Female,East,Basic,23.0,40.24,10.0,0.0,Tablet,3.0,0.0,0,2028.04
c8434f3f-ec15-47b5,40.0,Male,South,Premium,20.0,90.43,10.0,1.0,Desktop,11.0,0.0,0,4676.08
8f396f97-63bc-41a2,37.0,female,West,Standard,54.0,,8.0,0.0,Mobile,8.0,1.0,0,3550.29
f4b5811c-3a36-4536,60.0,Male,North,Standard,17.0,73.36,5.0,3.0,Desktop,19.0,0.0,1,2492.35
4c2ba7aa-17ee-40df,34.0,Male,West,Basic,61.0,63.29,9.0,0.0,Desktop,30.0,0.0,1,4988.58
5d87e82b-423b-4be0,36.0,Male,North,Standard,60.0,33.33,8.0,2.0,Mobile,1.0,1.0,1,3286.99
e184c0f1-9ca2-41b5,31.0,Male,South,Basic,6.0,20.2,9.0,1.0,Mobile,6.0,1.0,1,477.88
c03ca6be-4b3d-4cbf,41.0,Female,North,Basic,57.0,24.17,12.0,1.0,Desktop,3.0,0.0,1,2598.96
c1aac37b-ca8f-466c,43.0,Female,East,Basic,40.0,47.45,7.0,4.0,Desktop,,1.0,1,2517.52
dfaba6d5-33de-4b14,52.0,Male,West,STANDARD,36.0,53.38,2.0,0.0,Desktop,5.0,0.0,1,3232.58
60ca6ac8-583c-4049,56.0,Female,North,Premium,52.0,91.67,8.0,0.0,Desktop,2.0,0.0,1,8864.27
a8329441-bbe0-441f,36.0,Female,North,Standard,25.0,83.11,10.0,2.0,Mobile,8.0,0.0,1,3841.13
cd6e7bc9-2d9b-4de9,43.0,Male,North,Basic,51.0,28.41,6.0,0.0,Mobile,1.0,1.0,0,2449.99
d29c46fb-ab62-43b8,27.0,MALE,North,Standard,61.0,40.08,4.0,1.0,Desktop,10.0,0.0,1,3400.97
54fd0bd9-65f4-4fdc,51.0,Female,East,Basic,12.0,64.91,5.0,2.0,Desktop,1.0,0.0,1,1726.11
869db3d9-0ec1-4a20,48.0,Female,South,Premium,70.0,44.73,9.0,1.0,Desktop,1.0,1.0,0,6105.8
6a55911e-e30a-46be,25.0,Female,East,Basic,2.0,25.01,10.0,1.0,Mobile,2.0,0.0,1,610.91
819d584a-7e50-4a3f,41.0,Male,West,Standard,12.0,92.75,7.0,0.0,Mobile,1.0,1.0,0,2057.05
e4de68e1-c2ca-4efa,68.0,Female,West,Basic,17.0,33.02,8.0,0.0,Mobile,6.0,0.0,1,1060.5
4748418e-7e2b-40c4,22.0,Female,North,Standard,47.0,81.13,8.0,1.0,Desktop,0.0,0.0,0,5662.19
df6350d2-7ff8-4d90,45.0,Male,East,Standard,41.0,45.44,6.0,0.0,Desktop,5.0,1.0,0,3561.04
05333825-9ad4-411f,37.0,Male,South,Basic,66.0,63.81,11.0,0.0,Tablet,2.0,0.0,0,5510.71
a376b227-5f4b-4dc8,39.0,Female,East,Basic,45.0,37.21,7.0,1.0,Desktop,3.0,0.0,0,2500.54
89567a02-6683-4d2b,50.0,Male,South,Premium,23.0,52.06,1.0,4.0,Desktop,2.0,0.0,1,2521.87
9fb0f3f7-4616-4549,55.0,Male,East,Basic,60.0,85.51,17.0,0.0,Tablet,6.0,0.0,0,6084.85
65d0409f-ff02-4b0e,42.0,Female,North,Standard,66.0,80.09,10.0,1.0,Mobile,7.0,0.0,1,7480.82
df291d80-626e-43fe,40.0,Female,North,Basic,43.0,31.79,9.0,2.0,Mobile,11.0,1.0,1,2225.24
f372f6a3-c4de-4964,47.0,Male,West,Basic,63.0,29.5,10.0,0.0,Desktop,18.0,0.0,1,3101.45
4bd9a911-41a5-4b6c,18.0,Female,East,Standard,28.0,39.73,10.0,3.0,Mobile,6.0,0.0,1,2273.53
98aae810-0469-437d,37.0,Female,West,Standard,26.0,45.78,10.0,1.0,Tablet,3.0,0.0,1,2133.3
489000dc-6ace-4cd0,51.0,MALE,East,Basic,61.0,90.77,3.0,1.0,Desktop,12.0,0.0,0,6203.25
9b44bce1-cd16-4e06,22.0,female,West,Basic,59.0,34.28,5.0,0.0,Mobile,7.0,0.0,0,2283.69
ca7562b3-8548-416e,32.0,Male,East,Standard,56.0,83.09,5.0,5.0,Desktop,3.0,1.0,1,6092.73
01a35f00-e6fd-4682,28.0,Male,North,Premium,41.0,83.68,10.0,2.0,Mobile,0.0,0.0,0,6535.45
b37399ba-f3de-44a8,57.0,Female,North,Standard,3.0,93.09,10.0,2.0,Mobile,7.0,0.0,1,1631.99
a987a599-baa0-42c2,32.0,Female,North,Basic,48.0,31.95,5.0,0.0,Desktop,5.0,1.0,0,1958.83
e55714b2-310f-4f5a,18.0,Female,South,Standard,64.0,58.44,6.0,2.0,Mobile,0.0,1.0,0,5205.11
c9273f97-902f-4603,27.0,Female,North,Basic,65.0,90.62,4.0,1.0,Mobile,0.0,0.0,1,6486.97
356261bc-a58e-4127,49.0,Female,South,Premium,4.0,50.74,5.0,1.0,Desktop,0.0,0.0,0,729.43
7763c543-6703-4748,34.0,Female,North,Basic,14.0,20.73,4.0,2.0,Tablet,15.0,0.0,1,1168.26
929acffb-2028-4029,30.0,Male,North,Basic,27.0,64.39,7.0,1.0,Mobile,1.0,1.0,1,2015.37
bafc22c2-9ff9-49b0,42.0,Male,West,Standard,66.0,92.19,0.0,0.0,Desktop,2.0,0.0,0,8828.57
e714f7e1-bf2c-415a,24.0,Female,North,Basic,3.0,,10.0,0.0,Desktop,1.0,0.0,0,570.47
88012eca-39b4-42b0,28.0,Male,West,Basic,24.0,19.67,7.0,2.0,Tablet,10.0,0.0,1,1282.76
4e5da71b-eaed-4ad2,39.0,Female,North,Basic,49.0,15.69,7.0,3.0,Desktop,12.0,0.0,1,1094.35
af869ee6-bdbd-44c0,53.0,Female,East,Standard,58.0,79.17,8.0,0.0,Mobile,1.0,0.0,0,6588.64
816a314a-1170-4e2f,29.0,Male,West,Standard,21.0,61.48,15.0,5.0,Mobile,3.0,1.0,1,2443.35
51ae19c1-9f53-4a03,44.0,Male,North,Basic,43.0,47.1,10.0,3.0,Mobile,1.0,0.0,1,3284.31
e943a003-1583-4835,50.0,Male,North,Basic,41.0,29.53,9.0,0.0,Mobile,1.0,0.0,1,2281.47
2ac9f4aa-a065-4ae5,39.0,Male,North,Standard,21.0,34.74,5.0,2.0,Desktop,22.0,1.0,1,1944.01
640e65df-dac4-4de6,37.0,Male,North,Standard,13.0,82.8,7.0,1.0,Tablet,4.0,0.0,1,2362.35
6fd9c7bf-5ee2-456b,39.0,Male,South,Standard,57.0,84.83,12.0,3.0,Mobile,13.0,0.0,1,7393.33
8050f482-1b96-49fe,46.0,Female,West,Standard,42.0,31.6,10.0,0.0,Tablet,12.0,1.0,0,2827.99
ad1a96f4-af32-4579,57.0,Female,West,Basic,37.0,24.39,7.0,0.0,Mobile,1.0,0.0,0,1666.1
82d05975-f63b-4505,43.0,Male,South,Standard,14.0,49.81,13.0,2.0,Mobile,2.0,1.0,0,1937.32
f9726acf-062d-4200,65.0,Male,West,Basic,22.0,92.26,6.0,1.0,Desktop,17.0,0.0,0,2737.35
e61ac5d7-fb32-4d6c,,Female,North,Standard,51.0,79.4,10.0,1.0,Desktop,0.0,0.0,0,5937.89
cdfedb49-4426-41d6,49.0,Female,North,Premium,6.0,92.14,8.0,0.0,Desktop,1.0,1.0,0,2197.25
3ba35460-f363-4ad7,58.0,Male,South,Basic,19.0,41.83,5.0,1.0,Mobile,0.0,1.0,1,1363.44
357400f9-6de6-4191,18.0,Male,North,Basic,9.0,,7.0,0.0,Mobile,3.0,1.0,0,881.95
a83f69fa-8540-4f73,35.0,Female,South,Basic,35.0,34.98,6.0,0.0,Desktop,12.0,0.0,1,1859.58
c1c9b53f-2b18-4e0f,27.0,Male,North,Standard,66.0,65.38,8.0,0.0,Mobile,11.0,0.0,0,6346.24
d315f313-e88b-40d9,45.0,Female,West,Premium,26.0,94.72,5.0,2.0,Tablet,6.0,1.0,1,4887.99
cd8ba966-0edb-4c0f,30.0,Female,North,Basic,27.0,36.62,10.0,0.0,Desktop,10.0,1.0,1,1687.93
3d842133-ef0d-4614,64.0,Female,West,Premium,68.0,65.74,6.0,3.0,Mobile,4.0,1.0,1,8581.14
9a400332-d669-4cd0,50.0,Male,West,Basic,21.0,77.16,18.0,0.0,Mobile,3.0,1.0,0,2902.7
681c9854-af2a-41c8,43.0,Female,North,Basic,3.0,81.84,4.0,1.0,Mobile,11.0,0.0,1,757.86
791d29e4-814d-4a1e,48.0,Male,West,Basic,57.0,49.34,11.0,0.0,Tablet,7.0,0.0,1,4458.38
cf544de3-321c-4cb3,50.0,Female,North,Basic,56.0,68.56,8.0,1.0,Mobile,12.0,0.0,1,4983.21
e0f58c13-1fda-4fa8,56.0,Female,West,Basic,54.0,52.91,10.0,0.0,Mobile,3.0,0.0,0,3883.87
0021f5ec-02ca-4e85,36.0,Male,East,Basic,28.0,39.81,2.0,2.0,Desktop,2.0,0.0,1,1050.39
aeeb42b8-d388-46cc,44.0,Male,South,Premium,55.0,85.56,13.0,2.0,Mobile,29.0,0.0,1,9361.01
92a75842-48df-48c7,32.0,Female,West,Basic,28.0,48.51,9.0,1.0,Mobile,,0.0,1,1959.65
8759ab9e-a1a1-4c39,46.0,Female,North,Basic,40.0,67.58,6.0,2.0,Mobile,16.0,0.0,1,3314.04
9827cd38-5e05-43dd,24.0,Male,East,Standard,33.0,52.62,7.0,0.0,Mobile,9.0,0.0,1,2655.57
b072489c-361b-4741,42.0,Female,North,Premium,55.0,32.5,3.0,0.0,Tablet,0.0,1.0,0,4066.1
a5099ce1-f968-4037,50.0,Female,North,Premium,28.0,59.83,8.0,0.0,Mobile,2.0,1.0,1,3925.76
df65cebf-d888-4563,19.0,Male,South,Basic,36.0,52.36,6.0,1.0,Mobile,3.0,0.0,1,1701.3
497d0196-ce7a-4c76,,Male,East,Basic,57.0,18.39,5.0,2.0,Desktop,1.0,1.0,0,1651.36
a4dbd1d3-b112-477c,50.0,Female,South,Standard,53.0,56.37,11.0,3.0,Tablet,2.0,0.0,0,5021.9
997c62f0-f529-4715,18.0,Male,West,Basic,52.0,73.18,11.0,1.0,Tablet,5.0,1.0,0,4125.16
4670eb88-ce0c-4af4,44.0,Male,North,Basic,64.0,23.54,8.0,2.0,Mobile,7.0,1.0,1,2150.01
f19eb2cf-f892-43fc,41.0,Female,East,Basic,55.0,18.11,10.0,3.0,Mobile,5.0,0.0,1,1773.11
35ac48df-5deb-43ca,34.0,Female,North,Standard,43.0,34.02,17.0,0.0,Desktop,25.0,1.0,1,3055.94
71ac3536-9e9a-4342,30.0,Male,West,Standard,58.0,38.31,9.0,0.0,Mobile,1.0,1.0,0,3924.88
d33845f2-2e8d-47f1,42.0,Male,East,Basic,17.0,86.0,7.0,0.0,Mobile,1.0,1.0,0,2696.15
fa563206-8b43-4503,20.0,Female,East,Basic,46.0,74.54,8.0,0.0,Mobile,10.0,1.0,0,3975.2
fce7498a-5707-4542,49.0,Female,West,Standard,19.0,75.13,7.0,0.0,Mobile,1.0,0.0,0,3011.47
ed733535-ce28-4d35,49.0,Female,West,Basic,58.0,58.65,10.0,0.0,Mobile,1.0,1.0,0,3910.93
7c1887ce-8e36-4574,46.0,Female,East,Standard,18.0,19.84,6.0,1.0,Desktop,13.0,0.0,1,1161.23
35886373-ed5d-43d0,65.0,Male,West,Premium,71.0,69.28,5.0,2.0,Tablet,0.0,0.0,1,9638.04
683d3813-47a0-4dbb,48.0,Female,North,Basic,1.0,24.09,12.0,12.0,Tablet,3.0,1.0,1,1268.35
7f0d3cc1-fbff-4387,24.0,Female,North,Basic,54.0,43.38,10.0,0.0,Mobile,4.0,0.0,0,3804.98
0a7931c7-4911-4b8b,26.0,Male,West,Basic,35.0,38.11,7.0,1.0,Desktop,14.0,1.0,1,881.08
649a978e-44ee-4558,44.0,Female,South,Basic,10.0,38.49,3.0,3.0,Tablet,14.0,1.0,1,844.89
1b0b1c50-65df-4677,46.0,Female,North,Premium,66.0,51.9,11.0,4.0,Desktop,1.0,0.0,0,6652.92
ecd5819a-bbda-4dec,45.0,Female,West,Basic,11.0,27.84,6.0,0.0,Desktop,5.0,1.0,1,694.88
76b163fe-2c22-4adc,23.0,Male,West,Basic,14.0,78.99,7.0,0.0,Desktop,1.0,0.0,1,2072.89
89a7ea63-e8f7-4743,27.0,Female,West,Basic,58.0,17.35,5.0,2.0,Desktop,7.0,0.0,1,1750.72
ec9b4d5a-1bae-4b42,46.0,Female,South,Premium,23.0,49.11,9.0,2.0,Desktop,11.0,0.0,1,3468.21
5bc9c265-3eb2-46d5,49.0,Male,North,Basic,50.0,72.33,11.0,2.0,Desktop,1.0,1.0,1,4324.41
899f0d61-0da0-40b5,51.0,Female,North,Standard,15.0,78.08,5.0,0.0,Mobile,9.0,0.0,0,2426.87
809282c2-26bd-4cb6,47.0,Female,North,Basic,65.0,41.44,6.0,6.0,Desktop,16.0,0.0,1,3512.77
60518ce0-cd67-4d42,38.0,MALE,South,Standard,1.0,82.0,13.0,1.0,Desktop,7.0,0.0,0,1149.1
e7050850-f516-41e7,52.0,Female,North,Standard,56.0,80.19,6.0,2.0,Mobile,1.0,1.0,1,6843.22
957a5492-6607-4d43,30.0,Female,North,Basic,68.0,88.59,2.0,8.0,Mobile,13.0,0.0,1,5906.26
9aa0216e-2191-4802,28.0,Female,East,Premium,57.0,74.72,12.0,0.0,Desktop,3.0,1.0,0,8442.26
e3e75b3c-8dd1-4bbc,36.0,Female,North,Standard,26.0,82.88,8.0,1.0,Mobile,7.0,1.0,1,3554.45
dcd8b4e1-a24e-4c44,35.0,Female,North,Basic,7.0,50.41,12.0,0.0,Desktop,2.0,1.0,0,1901.16
6adfecc9-ae72-4309,40.0,Female,West,Standard,67.0,65.0,15.0,0.0,Mobile,0.0,0.0,0,7038.43
d1542150-4932-41ed,49.0,Male,North,Standard,55.0,94.19,11.0,4.0,Tablet,2.0,0.0,1,7663.33
13b94c22-853a-41c7,53.0,Female,East,Basic,57.0,67.55,9.0,0.0,Mobile,2.0,0.0,0,4665.83
5a3f285d-ccba-4098,39.0,Male,South,Basic,5.0,39.53,8.0,0.0,Mobile,1.0,0.0,0,738.02
6e997ff4-10a1-421f,38.0,Male,East,Premium,32.0,92.34,8.0,0.0,Mobile,2.0,1.0,0,6183.51
9c8d85a5-7031-4011,29.0,Female,East,basic_plan,38.0,50.99,6.0,2.0,Tablet,5.0,0.0,1,2523.9
8f4b2590-b01c-4fee,49.0,Male,North,Premium,32.0,49.07,6.0,0.0,Desktop,3.0,0.0,1,3133.95
feccf4ef-c3b9-48f2,21.0,Male,East,Standard,16.0,28.25,9.0,0.0,Desktop,6.0,1.0,0,918.22
fdf920bf-6cbf-4068,61.0,Female,South,Standard,20.0,34.64,11.0,3.0,Mobile,13.0,0.0,0,2468.22
f703e062-439f-4093,18.0,Female,North,Standard,51.0,84.59,7.0,0.0,Mobile,5.0,0.0,0,6519.44
e350d892-5b0d-4a54,45.0,Male,North,Standard,8.0,23.94,8.0,6.0,Mobile,0.0,0.0,1,921.47
87efcec3-103d-4934,43.0,Female,South,Standard,48.0,58.36,8.0,0.0,Mobile,2.0,0.0,0,4259.99
8a4c9a37-64dc-4c31,48.0,Female,South,Standard,41.0,47.57,9.0,0.0,Desktop,0.0,0.0,1,3939.22
8a090a71-8089-491b,,Female,South,Basic,50.0,46.38,9.0,2.0,Desktop,11.0,0.0,1,3427.56
7a02640d-8f1d-4162,22.0,Female,North,Premium,54.0,38.4,12.0,5.0,Mobile,10.0,0.0,0,4491.52
06fdb347-615c-4573,29.0,Female,South,Prem.,21.0,27.77,9.0,0.0,Desktop,1.0,1.0,0,2151.7
e52fa1dd-0f6f-4864,50.0,Male,North,Premium,10.0,18.98,12.0,2.0,Tablet,0.0,1.0,0,2379.55
c3d346ed-9741-47a2,58.0,Female,North,Basic,32.0,80.22,8.0,6.0,Mobile,7.0,0.0,1,3627.52
1591a659-ed54-4b2a,37.0,Female,North,Premium,1.0,90.95,3.0,1.0,Mobile,1.0,1.0,0,604.64
d202d8cf-1b11-41e9,56.0,Female,South,Standard,37.0,48.67,11.0,1.0,Tablet,3.0,0.0,0,3599.76
afc97c50-7520-411e,57.0,Male,North,Premium,23.0,15.57,6.0,0.0,Desktop,10.0,1.0,0,2268.03
f81a848f-ee78-4291,46.0,Male,East,Basic,11.0,31.29,7.0,1.0,Mobile,6.0,0.0,1,948.81
733b5ef3-bbf0-45a2,73.0,Female,South,Standard,66.0,83.19,12.0,5.0,Mobile,1.0,1.0,1,8623.22
6d3495f3-e351-497e,27.0,Female,East,Premium,33.0,92.91,8.0,2.0,Tablet,4.0,0.0,1,5924.05
ff136e70-766c-4fed,56.0,Male,East,Basic,51.0,92.89,12.0,0.0,Desktop,8.0,0.0,1,6127.04
7315ff5b-f944-4b76,43.0,Male,North,Premium,24.0,31.11,13.0,0.0,Desktop,1.0,1.0,0,2952.55
512705ac-5867-4cd4,41.0,Male,South,Standard,6.0,62.47,11.0,0.0,Desktop,2.0,0.0,1,1400.81
ad228be6-28fe-4e3e,35.0,female,West,Standard,63.0,72.96,5.0,0.0,Tablet,0.0,0.0,1,6278.76
05775f0f-7c49-4345,41.0,Female,East,basic_plan,52.0,28.67,6.0,2.0,Mobile,1.0,1.0,1,1911.01
15f7d1c4-9b74-4c90,44.0,Female,East,Basic,71.0,94.01,11.0,0.0,Mobile,7.0,0.0,1,7926.37
445948f0-bb99-4f2f,30.0,Male,North,Basic,37.0,33.91,13.0,2.0,Desktop,0.0,0.0,1,2781.0
7f332514-511e-4c08,34.0,Male,West,Basic,24.0,26.95,6.0,0.0,Desktop,5.0,0.0,0,1024.36
52b5440b-b447-450d,42.0,Male,West,Basic,7.0,82.19,7.0,6.0,Desktop,8.0,0.0,1,917.51
1fe409c4-5bed-48a7,45.0,Male,West,Standard,71.0,71.39,8.0,1.0,Mobile,7.0,0.0,0,7705.05
60429bc3-3095-46e1,33.0,Female,West,Basic,32.0,29.22,10.0,0.0,Desktop,5.0,0.0,1,1732.69
86b2aad1-ed8b-496e,37.0,Male,East,Basic,27.0,50.35,8.0,0.0,Desktop,4.0,1.0,0,2174.68
43f67193-a786-4dc9,51.0,Female,North,Basic,6.0,59.09,11.0,2.0,Mobile,20.0,0.0,1,1172.4
77e2ddf8-b401-416c,32.0,Male,West,Basic,57.0,74.84,9.0,0.0,Tablet,7.0,0.0,1,5114.23
f915f921-0602-492b,50.0,Female,West,Premium,56.0,87.87,6.0,4.0,Mobile,0.0,1.0,1,9999.74
30434acd-7a38-4559,50.0,Female,South,Basic,56.0,56.17,9.0,5.0,Tablet,1.0,0.0,1,3828.54
9e313d76-e792-4a4d,27.0,Female,West,Standard,2.0,53.88,11.0,1.0,Desktop,2.0,1.0,0,792.16
92a2019a-7e94-4af2,70.0,Male,North,Basic,64.0,88.87,8.0,6.0,Mobile,5.0,0.0,1,6619.99
